,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2016-07-01,1,Sé,Inativo Transitável,09:26,09:36,AV SEN QUEIROS, B/C - DIREITA, R FLORENCIO DE ABREU
1,2016-07-01,1,Pinheiros,Inativo Transitável,09:36,11:08,R ABILIO SOARES, B/C, R CUBATAO
2,2016-07-01,1,Aricanduva/ Vila Formosa,Inativo Transitável,08:07,08:12,AV DR EDUARDO COTCHING, C/B, ALTURA DO N. 1268
3,2016-07-01,1,Aricanduva/ Vila Formosa,Inativo Transitável,08:08,08:12,PC NSRA.DAS VITORIAS, B/C, ALTURA DO N. 13
4,2016-07-01,1,Aricanduva/ Vila Formosa,Inativo Transitável,08:10,08:12,PC NSRA.DAS VITORIAS, B/C, ALTURA DO N. 28
5,2016-07-06,1,Penha,Inativo Transitável,15:54,16:02,R PARANHOS, ÚNICO, ALTURA DO N. 8
6,2016-07-08,1,Lapa,Inativo Transitável,14:27,16:30,R FROBEN, ÚNICO, ALTURA DO N. 176
7,2016-07-16,1,Sé,Inativo Intransitável,14:11,17:41,R TEN OTAVIO GOMES, ÚNICO, ALTURA DO N. 383
8,2016-07-18,1,Vila Maria/ Vila Guilherme,Inativo Transitável,00:32,05:13,AV MORVAN DIAS DE FIGUEIREDO, AS/CB - LOCAL, ALTURA DO N. 4828
9,2016-07-20,1,Pinheiros,Inativo Transitável,07:53,08:21,R AUGUSTA, AMBOS, R OSCAR FREIRE
10,2016-07-24,1,Vila Prudente,Inativo Transitável,08:49,09:48,AV DO ORATORIO, ÚNICO, ALTURA DO N. 41
11,2016-07-28,1,Pinheiros,Inativo Transitável,07:46,08:05,R PDE JOAO MANUEL, ÚNICO, AL SANTOS
12,2016-07-30,1,M'Boi Mirim,Inativo Transitável,14:22,14:36,PTE TRANSAMERICA, CB/INT - ALÇA, ALTURA DO N. 111
13,2016-08-01,1,Pinheiros,Inativo Transitável,22:33,23:06,PC AUGUSTO RADEMAKER GRUNEWALD, C/B, ALTURA DO N. 66
14,2016-08-02,1,Sé,Inativo Transitável,04:45,04:50,AV RANGEL PESTANA, B/C, ALTURA DO N. 141
15,2016-08-02,1,M'Boi Mirim,Inativo Transitável,04:45,04:50,AV JOÃO DIAS, C/B, ALTURA DO N. 1209
16,2016-08-03,1,Pinheiros,Inativo Transitável,16:30,17:01,R SUMIDOURO, C/B, ALTURA DO N. 557
17,2016-08-04,1,Vila Prudente,Inativo Transitável,23:46,00:02,AV PROF LUIZ IGNACIO ANHAIA MELLO, AMBOS, ALTURA DO NÚMERO
18,2016-08-11,1,Itaquera,Inativo Transitável,15:26,16:36,R AMERICO SALVADOR NOVELLI, B/C, ALTURA DO N. 61
19,2016-08-14,1,Sé,Inativo Transitável,13:23,13:29,R PEDRA AZUL, C/B, AV DA ACLIMAÇÃO
20,2016-08-15,1,Aricanduva/ Vila Formosa,Inativo Transitável,14:19,14:34,R DULCE, ÚNICO, ALTURA DO N. 89
21,2016-08-17,1,Itaquera,Inativo Transitável,03:26,03:31,R IGNACIO ALVES DE MATTOS, ÚNICO, ALTURA DO N. 33
22,2016-08-19,1,Mooca,Inativo Transitável,05:20,05:35,AV. RANGEL PESTANA, ÚNICO, ALTURA DO N. 141
23,2016-08-19,1,Ipiranga,Inativo Transitável,07:40,13:22,AV. DO CURSINO, CENTRO/BAIRRO, ALTURA DO N. 2943
24,2016-08-20,1,Santana,Inativo Transitável,20:49,13:22,MARGINAL TIETE CBAS CENTRAL, CASTELO BRANCO/A.SENA, PTE. GOV. ORESTES QUERCIA
