,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,2013-07-01,1,Santana,Inativo Transitável,05:07,10:20,AV CRUZEIRO DO SUL, ST/IP, R TAPAJOS
1,2013-07-01,1,Santana,Inativo Transitável,09:55,10:25,R ALF MAGALHAES, UNICO, AV CRUZEIRO DO SUL
2,2013-07-01,1,Sé,Inativo Transitável,17:23,00:11,AV MERCURIO, UNICO, PC S VITO
3,2013-07-01,1,Butantã,Inativo Transitável,05:46,10:37,R FRANCA PINTO, C/B, CV JOAO JORGE SAAD
4,2013-07-01,1,Butantã,Inativo Transitável,12:23,20:27,AV MAGALHAES DE CASTRO, CB/INT - LOCAL, PTE ENG ROBERTO ROSSI ZUCCOLO
5,2013-07-01,1,Pinheiros,Inativo Intransitável,07:12,09:38,R BRIG HAROLDO VELOSO, B/C, AV CIDADE JARDIM
6,2013-07-01,1,Pinheiros,Inativo Transitável,07:24,07:55,R JACURICI, UNICO, R BRIG HAROLDO VELOSO
7,2013-07-01,1,Pinheiros,Inativo Transitável,12:10,20:25,AV DAS NACOES UNIDAS, INT/CB - LOCAL, R OLIVIA FEDER
8,2013-07-01,1,Mooca,Inativo Transitável,14:32,15:24,AV ALCANTARA MACHADO, C/B, R DR FOMM
9,2013-07-01,1,Cidade Ademar,Inativo Transitável,19:23,08:42,R MIGUEL YUNES, INTERLAGOS/MARGINAL, AV INTERLAGOS
10,2013-07-01,1,Santo Amaro,Inativo Transitável,13:01,15:29,AV NSRA DO SABARA, AMBOS, AV INTERLAGOS
11,2013-07-21,1,Santo Amaro,Inativo Transitável,03:30,08:54,AV JOAO DIAS, B/C, PONTE JOAO DIAS
12,2013-07-23,1,Pinheiros,Inativo Transitável,05:24,06:54,TN MAX FEFFER, B/C, AV CIDADE JARDIM
13,2013-07-23,1,Penha,Inativo Transitável,07:25,09:28,AV CELSO GARCIA, B/C, R FILIPE CAMARAO
14,2013-09-19,1,Sé,Inativo Transitável,06:09,08:52,VEL PRES ARTHUR DA COSTA E SILVA, PE/LA, R DA CONSOLACAO
15,2013-09-19,1,Sé,Inativo Transitável,06:59,13:01,VEL PRES ARTHUR DA COSTA E SILVA, PE/LA, AL GLETE
16,2013-09-19,1,Sé,Inativo Transitável,09:04,13:36,VD DR PLINIO DE QUEIROZ, C/B, PC QUATORZE BIS
17,2013-09-19,1,Sé,Inativo Transitável,09:12,13:38,R TEIXEIRA LEITE, B/C, R BR DE IGUAPE
18,2013-09-19,1,Sé,Inativo Transitável,10:22,13:37,AV CRUZEIRO DO SUL, ST/IP, R TAPAJOS
19,2013-09-19,1,Santo Amaro,Inativo Transitável,07:30,12:40,AV NSRA DO SABARA, B/C, AV INTERLAGOS
20,2013-09-22,1,Mooca,Inativo Transitável,22:47,02:00,AV CELSO GARCIA, C/B, R JOSÉ DE ALENCAR
21,2013-09-22,1,Mooca,Inativo Transitável,22:58,02:00,AV CELSO GARCIA, C/B, R SALDANHA MARINHO
22,2013-09-23,1,Casa Verde,Inativo Transitável,21:56,23:09,AV OTAVIANO ALVES DE LIMA, AS/CB - LOCAL, PTE JULIO DE MESQUITA NETO
23,2013-09-23,1,Pirituba/Jaraguá,Inativo Transitável,19:53,23:10,AV RAIMUNDO PEREIRA DE MAGALHAES, CENTRO/BAIRRO, ALTURA 17248
24,2013-09-23,1,Sé,Inativo Transitável,06:14,13:46,MARGINAL TIETE, CB/AS - LOCAL, PTE DA CASA VERDE
25,2013-09-23,1,Sé,Inativo Transitável,06:39,12:53,AV SANTOS DUMONT, AER/ST, AV DO ESTADO
26,2013-09-23,1,Sé,Inativo Intransitável,06:45,12:40,R JOAO JACINTO, UNICO, R SAO CAETANO
27,2013-09-23,1,Sé,Inativo Transitável,23:54,06:22,R JOAO JACINTO, ÚNICO, R S CAETANO
28,2013-09-23,1,Lapa,Inativo Transitável,21:37,23:09,AV MARGINAL DIREITA DO TIETE, A SENNA/CASTELO B - LOCAL, R DA DESPEDIDA
29,2013-09-23,1,Pinheiros,Inativo Transitável,16:30,17:12,TN MAX FEFFER, BAIRRO/CENTRO - ÚNICA, PC LUIS CARLOS PARANA
30,2013-09-23,1,Pinheiros,Inativo Transitável,21:00,21:47,TN MAX FEFFER, B/C, PC LUIS CARLOS PARANA
31,2013-09-23,1,Itaquera,Inativo Transitável,00:18,01:23,VD ANTONIO S DE LARRAGOITI JR, NAO INFORMADO, AV JACU PESSEGO NOVA TRABALHADORES
32,2013-09-23,1,Mooca,Inativo Transitável,06:24,10:39,R GUAPEVA, C/B, R DEMETRIO RIBEIRO
33,2013-09-23,1,Vila Mariana,Inativo Intransitável,06:17,12:19,AV PROF NOE AZEVEDO, B/C, PC DR TEODORO DE CARVALHO
34,2013-09-24,1,Mooca,Inativo Transitável,00:32,01:36,MARGINAL TIETE CB AS EXPRESSA, CASTELO B/A SENNA, PTE PRES JANIO QUATROS PISTA EXPRESSA
35,2013-09-30,1,Mooca,Inativo Transitável,11:20,15:34,RUA CACHOEIRA, UNICO, RUA MARCOS ARRUDA
36,2013-09-30,1,Mooca,Inativo Transitável,11:42,16:04,AV CELSO GARCIA, C/B, RUA SALDANHA MARINHO
37,2013-09-30,1,Mooca,Inativo Transitável,11:46,15:50,RUA CESARIO ALVIN, C/B, AV CELSO GARCIA
38,2013-09-30,1,Mooca,Inativo Transitável,12:09,15:14,AV RANGEL PESTANA, UNICO, R GOMES CARDIM
39,2013-09-30,1,Mooca,Inativo Transitável,12:48,16:04,RUA ORIENTE, UNICO, RUA MILLER
