,Unnamed: 0,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
0,0,2023-01-01,1,Itaquera,Inativo Intransitável,14:16:00,14:48:00,AVENIDA ARICANDUVA, ITAQUERA/MARGINAL, AVENIDA AFONSO DE SAMPAIO E SOUZA
1,1,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
2,2,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
3,3,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
4,4,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
5,5,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
6,6,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
7,7,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
8,8,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
9,9,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
10,10,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
11,11,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
12,12,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
13,13,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
14,14,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
15,15,2023-01-01,1,Itaquera,Inativo Transitável,14:35:00,17:55:00,RUA PADRE VIEGAS DE MENEZES, UNICO, RUA ITAGIMIRIM
