Data,Arquivo,Hora do dia,Tempo médio ponderado com chuva (min),Status de processamento,Width,Height,Bandas,CRS,Estatística Descritiva,Média,Mediana,Desvio Padrão,Valor Mínimo (m),Valor Máximo (m),Percentil 25,Percentil 50,Percentil 75
25/11/2013,h_28400400.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28360800.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28353600.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28375200.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28386000.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28418400.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28404000.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28371600.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28357200.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28382400.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28378800.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28422000.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28342800.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28368000.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28411200.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28389600.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28364400.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28350000.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28414800.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28407600.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28396800.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28393200.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28346400.tif,,,,,,,,,,,,,,,,
25/11/2013,h_28339200.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2113200.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2127600.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2156400.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2116800.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2091600.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2098800.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2109600.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2131200.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2080800.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2095200.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2134800.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2142000.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2138400.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2102400.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2124000.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2152800.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2073600.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2145600.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2149200.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2077200.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2088000.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2120400.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2106000.tif,,,,,,,,,,,,,,,,
25/01/2013,h_2084400.tif,,,,,,,,,,,,,,,,
24/11/2013,h_28296000.tif,,,,,,,,,,,,,,,,
24/11/2013,h_28270800.tif,,,,,,,,,,,,,,,,
24/11/2013,h_28314000.tif,,,,,,,,,,,,,,,,
24/11/2013,h_28332000.tif,,,,,,,,,,,,,,,,
24/11/2013,h_28267200.tif,,,,,,,,,,,,,,,,
24/11/2013,h_28252800.tif,,,,,,,,,,,,,,,,
24/11/2013,h_28310400.tif,,,,,,,,,,,,,,,,
24/11/2013,h_28292400.tif,,,,,,,,,,,,,,,,
24/11/2013,h_28263600.tif,,,,,,,,,,,,,,,,
24/11/2013,h_28328400.tif,,,,,,,,,,,,,,,,
24/11/2013,h_28299600.tif,,,,,,,,,,,,,,,,
24/11/2013,h_28274400.tif,,,,,,,,,,,,,,,,
