,NumeroZona,NomeZona,geometry,nearest_node,nearest_node_rain
0,46,Água Rasa,POINT (340287.03157310537 7392203.01740525),340185206,77307
1,47,Vila Bertioga,POINT (338881.8870142447 7392840.544618607),4499663530,99226
2,48,Regente Feijó,POINT (339150.70334047143 7393849.659704688),458457689,93519
3,166,Gomes Cardim,POINT (340580.33572528476 7395170.252871007),129958225,1545
4,167,Tatuapé,POINT (339357.58948495635 7395121.293937568),130009969,2548
5,168,Chácara do Piqueri,POINT (339058.6019074713 7396585.085393276),8773249082,110651
6,169,Parque São Jorge,POINT (340596.46560507943 7396821.8023371715),433999406,12440
7,170,Penha,POINT (341904.9623285306 7397901.934316404),2106532284,76682
8,171,Tiquatira,POINT (343556.5294102846 7397823.640633289),5334219098,100654
9,172,Vila Esperança,POINT (345030.471772714 7397658.364550725),2780533002,85975
10,173,Vila Ré,POINT (347007.7849119534 7397354.649817911),242661092,13735
11,183,Burgo Paulista,POINT (348505.7689273692 7398373.1358197415),2583003908,93863
12,189,Parada XV,POINT (352786.9992380842 7396605.350547718),3905134105,28900
13,190,Itaquera,POINT (351617.123595129 7395144.194529869),4106913804,30047
14,191,Arena Corinthians,POINT (350030.2998939454 7395390.085212403),2880970643,94707
15,192,Vila Campanela,POINT (350370.504183891 7396615.139525559),5345831151,100907
16,193,Araucárias,POINT (350002.5275601312 7397916.261739387),8804880632,111928
17,194,Parque Guarani,POINT (351028.10845131334 7397766.914516283),1677283353,69371
18,195,Rio Verde,POINT (351905.8635923534 7397833.102076712),1422532772,63277
19,196,Saudade,POINT (353260.3973849716 7398331.85942585),1705054810,75323
20,202,Jardim Robru,POINT (355600.4179393116 7398420.698364299),3830604147,66851
21,203,Lajeado,POINT (354702.7698228202 7397106.467713282),1666009009,67368
22,204,Fábrica Bandeirantes,POINT (356884.88796739164 7396509.00532263),1660722712,61825
23,208,Vila Califórnia,POINT (342034.3690580436 7395265.754963199),8699569461,109343
24,209,Vila Carrão,POINT (343705.471060949 7394126.287368211),7285084235,88083
25,210,Jardim Anália Franco,POINT (341341.7569810664 7393524.012943203),8660065212,109234
26,211,Vila Formosa,POINT (342919.6106108567 7392176.460767728),138100960,5692
27,212,Barreira Grande,POINT (345249.4529479373 7391344.987950804),2524219470,25887
28,213,Aricanduva,POINT (345369.94328581484 7392668.689767918),8493071757,21124
29,214,Frei Mont'Alverne,POINT (343449.09209075326 7395911.6606696695),155371196,92375
30,215,Vila Matilde,POINT (344987.94868475455 7395608.659607067),173912077,10845
31,216,Cidade Patriarca,POINT (346115.6273076285 7396283.291276928),5337689323,60630
32,217,Cidade A.E.Carvalho,POINT (348773.57443265803 7396689.8515063375),1662593611,93673
33,218,Artur Alvim,POINT (348023.0160069158 7395346.85206592),1678678859,70823
34,219,Cidade Líder,POINT (346901.8992534274 7394097.809447518),1664115915,64348
35,220,Santa Marcelina,POINT (349474.51063551405 7393973.039400421),1678842086,73976
36,221,Parque Savoy,POINT (347510.19764363416 7392675.929810433),1664086406,64037
37,222,Vila Carmosina,POINT (350042.21130388684 7393144.788262852),2488906786,25051
38,223,Fazenda Caguaçu,POINT (351889.77071399195 7392475.966258656),1679523477,73054
39,224,Parque do Carmo,POINT (350343.242376445 7391141.712726185),1607769053,7827
40,225,Gleba do Pêssego,POINT (353871.1270603504 7392001.411460061),1837002912,82717
41,226,José Bonifácio,POINT (353622.8939144593 7395241.461934855),8707027731,62269
42,227,Guaianases,POINT (355600.4343476438 7394737.980273927),1837020854,82934
43,228,Juscelino Kubitschek,POINT (357355.48966268636 7393556.949583849),1837688551,83513
44,229,Cidade Tiradentes,POINT (356737.58813118003 7391763.269616941),1836917919,80947
45,230,Santa Etelvina,POINT (357616.65524077916 7389798.294664327),1836918522,81264
46,231,Terceira Divisão,POINT (355466.2154870729 7387451.741291003),1664240116,80499
47,232,Iguatemi,POINT (353635.5197665263 7388462.4785544565),1836769548,79864
48,233,Sítio Carrãozinho,POINT (352101.96804635966 7388824.850079437),1667834763,67601
49,234,Parque São Rafael,POINT (352471.6019586838 7385797.296990512),1836711231,78456
50,235,Rodolfo Pirani,POINT (350639.3767777789 7386689.967171359),1659408811,60992
51,254,Orfanato,POINT (339131.1505205758 7390948.458336025),4560347947,99358
52,255,Vila Zelina,POINT (340161.8782461725 7389295.749821631),567547219,23115
53,256,Linhas Corrente,POINT (341366.39378919103 7390442.483445813),1038793906,37563
54,257,Vila Ema,POINT (342469.6153069911 7390931.141263065),923645194,28043
55,258,Parque São Lucas,POINT (343152.3818262962 7388782.5406020265),1049895346,36547
56,259,Vila Cardoso Franco,POINT (346117.48976182844 7387292.338518066),1273791605,46649
57,260,Parque Santa Madalena,POINT (345299.6929406107 7388300.818013897),1047253772,39248
58,261,Jardim Colorado,POINT (344400.5818531477 7389906.201042132),1095938141,23372
59,262,Teotônio Vilela,POINT (346210.53086077544 7389427.194771257),1071641620,40741
60,263,Fazenda da Juta,POINT (347645.299634221 7387429.640509378),1040335345,38028
61,264,São Mateus,POINT (348778.2170089522 7388564.042418186),6358057222,17036
62,265,Cidade IV Centenário,POINT (347431.56694839685 7390211.091465244),1095092347,24772
63,266,Rio Claro,POINT (348910.6733945841 7390361.098557539),155371115,8143
64,267,Cidade Satélite,POINT (350584.5196027449 7388407.184703681),1645957962,60158
