index,Origem,Destino,Num_viagens,Tempo de viagem (min),Número de nós,Percurso entre nós,Tempo ponderado sem chuva (min)
1,340185206,4499663530,1322.71,3.34,15,"[340185206, 910203189, 1759958160, 340185200, 470094120, 1420391122, 470094118, 138112453, 2384780814, 445062700, 1420286026, 1421325180, 352693672, 334383138, 4499663530]",4418.69
2,340185206,458457689,696.85,3.05,12,"[340185206, 910203189, 1759958160, 340185200, 470094125, 340185198, 4006114256, 3052827138, 340183419, 688021991, 1420286039, 458457689]",2122.60
3,340185206,129958225,520.90,7.47,35,"[340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 1760004659, 8765751788, 2393022597, 5904457772, 667546018, 2461787255, 2461787208, 663895140, 2461787196, 1759713640, 7958581985, 663895160, 130010103, 8773647866, 663895257, 667546050, 910203477, 138089214, 130010023, 667546165, 667546181, 8660065216, 667546232, 667546241, 138036422, 6958790718, 173901812, 173888107, 129958225]",3893.37
4,340185206,130009969,433.08,6.09,31,"[340185206, 910203189, 1759958160, 340185200, 470094125, 340185198, 4006114256, 3052827138, 340183419, 688021991, 1420286039, 458457689, 2533503959, 2533503954, 3038381704, 3038381705, 138081299, 138081302, 138081306, 138081318, 138081871, 135612208, 462747765, 2384739371, 2384739421, 2384739372, 129960793, 2523494616, 2523494627, 130009968, 130009969]",2637.97
5,340185206,433999406,126.22,9.66,43,"[340185206, 910203189, 1759958160, 340185200, 470094125, 340185198, 4006114256, 3052827138, 340183419, 688021991, 1420286039, 458457689, 2533503959, 2533503954, 3038381704, 3038381705, 138081299, 138081302, 138081306, 138081318, 138081871, 135612208, 462747765, 2384739371, 129960799, 2343417316, 2352384912, 2385844611, 2385844612, 2385844614, 2385844620, 433999765, 138063394, 7296420586, 1430972459, 130111945, 2385915570, 1430982917, 2365237488, 8777013210, 1430953333, 177473752, 433999406]",1219.56
6,340185206,8660065212,390.98,4.07,29,"[340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 1760004659, 8765751788, 2393022597, 5904457772, 667546018, 2461787255, 2461787208, 663895140, 2461787196, 1759713640, 7958581985, 663895160, 130010103, 8773647866, 663895257, 667546050, 910203477, 138089214, 130010023, 667546165, 667546181, 8660065216, 8660065212]",1589.56
7,340185206,138100960,1431.09,4.00,19,"[340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 2393022598, 492307165, 663895122, 663895121, 667546029, 667546022, 667546036, 663895183, 138096835, 2384828071, 2384828079, 2384828085, 138100960]",5726.85
8,340185206,8493071757,396.34,8.30,47,"[340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 2393022598, 492307165, 663895122, 663895121, 356234130, 1079203233, 340185218, 492207416, 688021913, 688021915, 340185223, 7285029527, 8765911337, 340185224, 4936350292, 8765998121, 340185227, 6925025746, 8766092137, 663049603, 3243677273, 340185231, 3243672325, 3243672324, 663049611, 934867585, 663049628, 1081500505, 1095785939, 1095938075, 1095937873, 1095937801, 1081500540, 2430678543, 8766243388, 8766280392, 1080024860, 667223954, 6080762281, 6080762282, 8493071757]",3287.85
9,340185206,1837002912,199.31,24.24,69,"[340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 2393022598, 492307165, 663895122, 663895121, 667546029, 667546022, 667546036, 663895183, 138096835, 2384828071, 2384828079, 2384828085, 138100960, 138100968, 663895205, 356234106, 1079949685, 663895454, 1080109308, 6936069477, 356233965, 438679779, 438679898, 2376451515, 1266042863, 155393945, 1984335302, 8772931467, 2477132062, 155398643, 1836988045, 173917846, 173917847, 173917858, 6943211214, 5282655218, 1664079364, 1984335290, 7309880712, 2363607676, 11906494644, 7848338800, 1679544144, 1678842086, 155340248, 155340246, 1678946459, 1678946513, 1678946504, 765175095, 1678946760, 736974034, 736974035, 2479542188, 1679429366, 1422508666, 2479550364, 1679469398, 1679469373, 1679429296, 2179749666, 1837002325, 1837002912]",4830.54
10,340185206,1667834763,616.32,19.50,86,"[340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 2393022598, 492307165, 663895122, 663895121, 356234130, 1079203233, 340185218, 492207416, 688021913, 688021915, 340185223, 7285029527, 8765911337, 340185224, 4936350292, 8765998121, 340185227, 6925025746, 8766092137, 663049603, 3243677273, 340185231, 3243672325, 3243672324, 663049611, 934867585, 663049628, 1081500505, 1095785939, 1095938075, 1095937873, 1095937801, 1081500526, 663049632, 1069859162, 4934171202, 4934171201, 663895350, 6172836597, 663049663, 1096517165, 6173282165, 663301463, 663301461, 663301464, 663301458, 6173282154, 663301522, 663301542, 663301540, 662491818, 662464003, 1607591273, 1984335414, 1984335413, 1984335412, 663049889, 1607880387, 1607880401, 155378360, 1607769057, 1607769053, 10747639152, 8731878413, 8731883417, 8731878411, 155373523, 297500325, 155374970, 8731878404, 1645957420, 9892321104, 8789399939, 1664522702, 1664522952, 8789512679, 1664523006, 8789512674, 1667834536, 1667834763]",12019.41
11,340185206,4560347947,213.69,2.53,16,"[340185206, 910203189, 1759958160, 340185200, 470094120, 333737036, 470094112, 2461787307, 1925380346, 470094088, 138110113, 5885883982, 8743049027, 470091190, 470096027, 4560347947]",540.76
12,340185206,567547219,1422.56,7.61,32,"[340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 2393022598, 492307165, 871720600, 871720583, 792632658, 340183016, 1265860780, 1265860770, 1265860708, 3158768004, 3158768006, 9466339074, 1041041228, 1041133158, 8792811076, 8792736907, 1041041046, 1041041311, 1038790352, 1038790363, 1038793934, 2453057240, 1065518445, 1065620472, 1065620477, 567547219]",10827.04
13,340185206,1038793906,137.57,4.58,24,"[340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 2393022598, 492307165, 871720600, 871720583, 792632658, 340183016, 1265860780, 1265860770, 1265860708, 3158768004, 1265860790, 2378322806, 1038746271, 1038746239, 1041403974, 4178134139, 1038746305, 1038793906]",629.65
14,340185206,1049140465,2307.46,4.15,20,"[340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 2393022598, 492307165, 663895122, 663895121, 356234130, 1079203233, 340185218, 492207416, 688021913, 688021915, 1095134363, 667546014, 923645194, 1049140465]",9579.00
15,340185206,1040335345,337.76,11.91,67,"[340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 2393022598, 492307165, 663895122, 663895121, 356234130, 1079203233, 340185218, 492207416, 688021913, 688021915, 340185223, 7285029527, 8765911337, 340185224, 4936350292, 8765998121, 340185227, 6925025746, 8766092137, 663049603, 3243677273, 340185231, 663049601, 340185235, 1095937952, 1095786276, 1095786111, 663895337, 1095786004, 8754143613, 571513852, 1036648417, 1071620146, 3441720196, 1040334937, 5566425162, 3592564733, 1069859295, 1040334938, 1276603893, 1040335041, 7285418237, 3886568121, 3886568141, 6896504934, 8773901166, 8773901174, 6896504945, 7285150474, 7285150473, 2434359272, 6896504976, 9466181295, 7285141469, 8773602963, 7285141461, 1269522877, 1269523805, 1256295212, 7279960384, 1040335345]",4021.90
16,4499663530,340185206,1358.64,2.48,10,"[4499663530, 8739969950, 333734701, 470094272, 470094126, 470094111, 470094095, 333737036, 470094099, 340185206]",3363.39
17,4499663530,458457689,3537.12,1.12,10,"[4499663530, 8739969950, 333734701, 445062700, 1420286026, 1421325180, 138081293, 1420286052, 1420286039, 458457689]",3974.69
18,4499663530,129958225,2214.57,7.11,30,"[4499663530, 8739969950, 333734701, 445062700, 1420286026, 1421325180, 138081293, 138079392, 1420176539, 3038381705, 138081299, 138081302, 138081306, 138081318, 138081871, 135612208, 462747765, 2384739371, 2384739421, 2384739372, 129960793, 2523494616, 2523494627, 130009968, 130009969, 4995000473, 135566143, 148630218, 173888107, 129958225]",15743.17
19,4499663530,130009969,439.59,4.15,25,"[4499663530, 8739969950, 333734701, 445062700, 1420286026, 1421325180, 138081293, 138079392, 1420176539, 3038381705, 138081299, 138081302, 138081306, 138081318, 138081871, 135612208, 462747765, 2384739371, 2384739421, 2384739372, 129960793, 2523494616, 2523494627, 130009968, 130009969]",1822.55
20,4499663530,8773249082,107.12,6.91,37,"[4499663530, 8739969950, 333734701, 445062700, 1420286026, 1421325180, 138081293, 138079392, 1420176539, 3038381705, 138081299, 138081302, 138081306, 138081318, 138081871, 135612208, 462747765, 2384739371, 129960799, 2343417316, 2352384912, 2385844611, 8751090688, 129961274, 1430972457, 129961279, 185636114, 129961281, 2615681554, 1658806921, 133450802, 1658806916, 133450815, 130111898, 433999544, 433999545, 8773249082]",740.32
21,4499663530,433999406,107.12,7.72,37,"[4499663530, 8739969950, 333734701, 445062700, 1420286026, 1421325180, 138081293, 138079392, 1420176539, 3038381705, 138081299, 138081302, 138081306, 138081318, 138081871, 135612208, 462747765, 2384739371, 129960799, 2343417316, 2352384912, 2385844611, 2385844612, 2385844614, 2385844620, 433999765, 138063394, 7296420586, 1430972459, 130111945, 2385915570, 1430982917, 2365237488, 8777013210, 1430953333, 177473752, 433999406]",826.61
22,4499663530,1660722712,758.37,28.94,116,"[4499663530, 8739969950, 333734701, 445062700, 1420286026, 1421325180, 138081293, 138079392, 1420176539, 3038381705, 138081299, 138081302, 138081306, 138081318, 138081871, 135612208, 462747765, 2384739371, 129960799, 2384739465, 10553233378, 130009967, 135608913, 129959871, 129959872, 129959873, 7949898525, 129959874, 129959876, 173947272, 135571292, 2407119155, 135571294, 135571295, 2061326895, 2413913540, 1706350616, 552894294, 552893618, 2343342281, 1678609571, 656454332, 5328050322, 155333830, 1678609448, 2426811100, 1664200588, 4169888793, 1678549599, 9465917983, 6943990287, 2063568328, 2449984048, 5758906206, 1678714311, 2449984062, 1678714317, 155333867, 2465949922, 2465949926, 4169888801, 5337805266, 2880969808, 2880986583, 2880976432, 2880969824, 2880969825, 2880978381, 1676035230, 1676059082, 2323729196, 1679709440, 1679664575, 3196419462, 2888331869, 1990125500, 1679664501, 1679709402, 1677562166, 739470027, 3781738188, 6981923160, 6981923170, 6981923167, 739470034, 6981923178, 6981989085, 739470057, 1665888322, 7937694192, 1660726271, 1660726281, 5863635093, 1665888359, 2200584790, 1665888316, 3675517359, 1665897213, 3675517335, 1665906624, 2367927772, 7987256256, 2495245373, 1665906636, 1665906701, 4282011888, 2302195153, 1665906474, 2474770591, 1665906554, 4153892602, 3906411216, 7936524003, 11336458518, 7934151862, 1660722712]",21949.45
23,4499663530,173912077,193.34,11.91,59,"[4499663530, 8739969950, 333734701, 445062700, 1420286026, 1421325180, 138081293, 138079392, 1420176539, 3038381705, 138081299, 138081302, 138081306, 138081318, 138081871, 135612208, 462747765, 2384739371, 129960799, 2384739465, 10553233378, 130009967, 135608913, 129959871, 129959872, 129959873, 7949898525, 129959874, 129959876, 173947272, 135571292, 2407119155, 135571294, 7301978964, 2357332920, 135571789, 135596979, 173951731, 462046832, 135596982, 173955538, 2477092979, 155403805, 2450912577, 155399651, 2477095786, 2477095823, 155403116, 2477097619, 2492723686, 2492723688, 2363551370, 2363551372, 1664200682, 6928860086, 9501602407, 9501602404, 1664200651, 173912077]",2301.90
24,4499663530,1678678859,107.12,15.40,61,"[4499663530, 8739969950, 333734701, 470094272, 470094126, 470094111, 470094095, 333737036, 470094099, 340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 2393022598, 492307165, 663895122, 663895121, 667546029, 667546022, 667546036, 663895183, 138096835, 2384828071, 2384828079, 2384828085, 138100960, 138100968, 663895205, 356234106, 1079949685, 663895454, 1080109308, 6936069477, 356233965, 438679779, 438679898, 2376451515, 1266042863, 155393945, 1984335302, 8772931467, 2477132062, 155398643, 1836988045, 173917846, 173917847, 173917858, 1678467683, 1664079266, 1678467680, 1649595152, 8769966262, 5337763141, 5337763160, 1649595154, 1678467305, 5337768229, 1649588845, 1678678859]",1649.53
25,4499663530,4560347947,688.16,2.87,10,"[4499663530, 8739969950, 333734701, 470094272, 138110113, 5885883982, 8743049027, 470091190, 470096027, 4560347947]",1977.75
26,4499663530,567547219,220.26,8.02,26,"[4499663530, 8739969950, 333734701, 470094272, 138110113, 5885883982, 8743049021, 470096038, 7208896369, 7208896371, 2393008625, 1041132950, 1041041228, 1041133158, 8792811076, 8792736907, 1041041046, 1041041311, 1038790352, 1038790363, 1038793934, 2453057240, 1065518445, 1065620472, 1065620477, 567547219]",1765.54
27,4499663530,1071641620,107.12,11.56,61,"[4499663530, 8739969950, 333734701, 470094272, 470094126, 470094111, 470094095, 333737036, 470094099, 340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 2393022598, 492307165, 663895122, 663895121, 356234130, 1079203233, 340185218, 492207416, 688021913, 688021915, 340185223, 7285029527, 8765911337, 340185224, 4936350292, 8765998121, 340185227, 6925025746, 8766092137, 663049603, 3243677273, 340185231, 3243672325, 3243672324, 663049611, 934867585, 663049628, 1081500505, 1095785939, 1095938075, 1095937873, 1095937801, 1081500526, 663049632, 1069859162, 4934171202, 4934171201, 663895350, 6172836597, 663049663, 6172836620, 6172836626, 1096518567, 7285656624, 1107116574, 1071641620]",1238.25
28,458457689,340185206,696.85,3.06,12,"[458457689, 1420286039, 688021991, 340183419, 4006114247, 4006114256, 340185198, 470094123, 470094120, 333737036, 470094099, 340185206]",2130.39
29,458457689,4499663530,3537.12,2.01,15,"[458457689, 2533503959, 2533503954, 3038381704, 3038381705, 138081299, 1424266148, 155423723, 138110075, 1420176532, 445062727, 155425830, 334383136, 334383138, 4499663530]",7092.87
30,458457689,130009969,284.99,3.05,20,"[458457689, 2533503959, 2533503954, 3038381704, 3038381705, 138081299, 138081302, 138081306, 138081318, 138081871, 135612208, 462747765, 2384739371, 2384739421, 2384739372, 129960793, 2523494616, 2523494627, 130009968, 130009969]",867.85
31,458457689,8773249082,120.53,5.81,32,"[458457689, 2533503959, 2533503954, 3038381704, 3038381705, 138081299, 138081302, 138081306, 138081318, 138081871, 135612208, 462747765, 2384739371, 129960799, 2343417316, 2352384912, 2385844611, 8751090688, 129961274, 1430972457, 129961279, 185636114, 129961281, 2615681554, 1658806921, 133450802, 1658806916, 133450815, 130111898, 433999544, 433999545, 8773249082]",700.33
32,458457689,5334219098,126.22,10.87,50,"[458457689, 2533503959, 2533503954, 3038381704, 3038381705, 138081299, 138081302, 138081306, 138081318, 138081871, 135612208, 462747765, 2384739371, 129960799, 2343417316, 2352384912, 2385844611, 8751090688, 129961274, 1430972457, 129961279, 185636114, 129961281, 2615681554, 1658806921, 133450802, 1658806916, 4251919189, 1432170572, 1432170576, 597447, 25778775, 2350165221, 297501985, 7953194549, 2107294356, 1706348938, 7950952226, 1706413928, 1706413881, 6133769683, 1706413552, 1706413619, 1706413866, 1625722471, 6755956231, 6755956234, 2066421041, 2066421039, 5334219098]",1372.23
33,458457689,7285084235,546.88,9.60,38,"[458457689, 2533503959, 458457643, 138093377, 458457594, 1424266119, 1760047147, 2394631677, 2394594065, 6093463311, 7950750943, 1424266169, 1759561606, 174015243, 1424266141, 138089214, 130010023, 667546165, 667546181, 138089210, 8770430628, 667546220, 663895261, 2410477724, 2524219443, 663895275, 663895285, 663895303, 2407415189, 7474377567, 2407415170, 433729936, 6940137848, 2356792800, 3746296702, 3746296706, 2356795783, 7285084235]",5250.32
34,458457689,8660065212,469.03,3.71,21,"[458457689, 2533503959, 458457643, 138093377, 458457594, 1424266119, 1760047147, 2394631677, 2394594065, 6093463311, 7950750943, 1424266169, 1759561606, 174015243, 1424266141, 138089214, 130010023, 667546165, 667546181, 8660065216, 8660065212]",1738.21
35,458457689,1678678859,247.32,14.30,73,"[458457689, 2533503959, 458457643, 138093377, 458457594, 1424266119, 1760047147, 2394631677, 2394594065, 6093463311, 7950750943, 1424266169, 1759561606, 174015243, 1424266141, 138089214, 130010023, 667546165, 667546181, 138089210, 8770430628, 667546220, 663895261, 2410477724, 2524219443, 663895268, 5339390529, 663895200, 2407436824, 2407436964, 2407436965, 2407436962, 663895237, 2410456818, 663895222, 663895218, 2407436668, 2407436682, 2407436676, 663895204, 138100968, 663895205, 356234106, 1079949685, 663895454, 1080109308, 6936069477, 356233965, 438679779, 438679898, 2376451515, 1266042863, 155393945, 1984335302, 8772931467, 2477132062, 155398643, 1836988045, 173917846, 173917847, 173917858, 1678467683, 1664079266, 1678467680, 1649595152, 8769966262, 5337763141, 5337763160, 1649595154, 1678467305, 5337768229, 1649588845, 1678678859]",3537.38
36,458457689,4560347947,561.69,4.21,20,"[458457689, 1420286039, 688021991, 340183419, 4006114247, 4006114256, 340185198, 470094123, 470094120, 333737036, 470094112, 2461787307, 1925380346, 470094088, 138110113, 5885883982, 8743049027, 470091190, 470096027, 4560347947]",2367.41
37,458457689,567547219,758.46,9.36,36,"[458457689, 1420286039, 688021991, 340183419, 4006114247, 4006114256, 340185198, 470094123, 470094120, 333737036, 470094112, 2461787307, 1925380346, 470094088, 138110113, 5885883982, 8743049021, 470096038, 7208896369, 7208896371, 2393008625, 1041132950, 1041041228, 1041133158, 8792811076, 8792736907, 1041041046, 1041041311, 1038790352, 1038790363, 1038793934, 2453057240, 1065518445, 1065620472, 1065620477, 567547219]",7096.44
38,458457689,1038793906,266.88,6.48,31,"[458457689, 1420286039, 688021991, 340183419, 4006114247, 4006114256, 340185198, 470094123, 470094120, 333737036, 470094112, 2461787307, 1925380346, 470094088, 138110113, 5885883982, 8743049021, 470096038, 1420412751, 8743049025, 1265860770, 1265860708, 3158768004, 1265860790, 2378322806, 1038746271, 1038746239, 1041403974, 4178134139, 1038746305, 1038793906]",1729.78
39,458457689,1049140465,699.96,7.21,31,"[458457689, 1420286039, 688021991, 340183419, 4006114247, 4006114256, 340185198, 470094123, 470094120, 333737036, 470094099, 340185206, 910203189, 340185209, 1759750087, 1759833382, 2393022579, 2393022598, 492307165, 663895122, 663895121, 356234130, 1079203233, 340185218, 492207416, 688021913, 688021915, 1095134363, 667546014, 923645194, 1049140465]",5045.64
40,129958225,340185206,520.90,8.23,33,"[129958225, 173888107, 173901812, 6958790718, 138036422, 667546241, 667546232, 8660065212, 667546165, 130010023, 2394594087, 2532610347, 130010024, 1424266121, 4570311085, 174015243, 4570311024, 458457799, 458457803, 458457807, 458457808, 855306835, 855306629, 855306603, 855306697, 1759750087, 340185209, 1759958160, 340185200, 470094120, 333737036, 470094099, 340185206]",4284.59
41,129958225,4499663530,2214.57,6.75,30,"[129958225, 129959067, 129959069, 4995000473, 135611215, 130009968, 2523494627, 2523494616, 129960793, 2384739372, 7959240889, 2384739327, 2384739335, 135615276, 462003860, 462003859, 2384780868, 462001995, 155423719, 462001999, 1424266173, 155423722, 155423723, 138110075, 1420176532, 445062727, 155425830, 334383136, 334383138, 4499663530]",14944.53
42,129958225,130009969,2156.69,2.37,7,"[129958225, 129959067, 129959069, 4995000473, 135611215, 130009968, 130009969]",5111.08
43,129958225,8773249082,1371.73,6.12,26,"[129958225, 173888107, 148630218, 129960037, 129960040, 129960043, 129959876, 173947272, 173947235, 173963331, 173889242, 2061326901, 173942551, 7949876303, 180588150, 130112045, 2108104636, 180588077, 8790492631, 8790492630, 8790492618, 8790492617, 8790482695, 8790482698, 4489631712, 8773249082]",8392.75
44,129958225,433999406,1136.28,3.67,17,"[129958225, 173888107, 148630218, 129960037, 129960040, 129960043, 129959876, 173947272, 173947235, 173963331, 173889242, 2061326901, 173942551, 7949876303, 180588150, 130112045, 433999406]",4167.67
45,129958225,2106532284,142.52,6.55,31,"[129958225, 173888107, 148630218, 129960037, 129960040, 129960043, 129959876, 173947272, 173947235, 173963331, 173889242, 2061326901, 173942551, 7949876303, 180588150, 130112045, 2108104632, 138115180, 3473791742, 2106532311, 138115182, 138116629, 10599212582, 1706349090, 5338815373, 1706413619, 2357354491, 2456171451, 1664231948, 1706344385, 2106532284]",932.92
46,129958225,242661092,7.19,11.44,36,"[129958225, 173888107, 148630218, 129960037, 129960040, 129960043, 129959876, 173947272, 135571292, 2407119155, 135571294, 135571295, 2061326895, 2413913540, 1706350616, 552894294, 552893618, 2343342281, 1678609571, 656454332, 5328050322, 155333830, 1678609448, 2426811100, 1664200588, 4169888793, 1678549599, 9465917983, 6943990287, 2063568328, 2449984048, 5758906206, 5337860847, 242661086, 242661087, 242661092]",82.30
