sp_nome,Média,Desvio_Padrão
VILA MARIA-VILA GUILHERME,43.83,2.7
LAPA,32.22,4.2
SE,26.85,2.14
PINHEIROS,26.35,2.06
SAO MIGUEL,19.25,2.07
SANTANA-TUCURUVI,18.43,2.13
CASA VERDE-CACHOEIRINHA,18.04,1.84
MOOCA,17.88,1.59
SANTO AMARO,15.54,3.66
ARICANDUVA-FORMOSA-CARRAO,14.2,0.7
FREGUESIA-BRASILANDIA,13.41,1.15
PIRITUBA-JARAGUA,13.28,0.71
BUTANTA,12.86,1.39
JABAQUARA,11.91,0.35
ITAQUERA,11.9,2.47
CAMPO LIMPO,10.67,1.53
PENHA,10.52,0.58
VILA MARIANA,10.2,0.53
ERMELINO MATARAZZO,10.09,0.47
PERUS,6.47,1.15
GUAIANASES,6.03,1.32
PARELHEIROS,5.23,2.24
CIDADE TIRADENTES,4.86,1.07
M BOI MIRIM,4.55,0.99
VILA PRUDENTE,4.0,0.7
IPIRANGA,3.98,0.5
ITAIM PAULISTA,3.87,0.84
CAPELA DO SOCORRO,3.18,0.88
SAPOPEMBA,3.16,0.72
JACANA-TREMEMBE,2.86,1.25
CIDADE ADEMAR,2.83,0.49
SAO MATEUS,2.34,1.49
